highway,name,wkt_geom,category,geometry
residential,Gaveliusgatan,"LINESTRING (18.0924941 59.309765500000005, 18.0922789 59.3097974, 18.0921773 59.309794100000005)",Local & Neighborhood,"LINESTRING (18.0924941 59.309765500000005, 18.0922789 59.3097974, 18.0921773 59.309794100000005)"
primary,Folkungagatan,"LINESTRING (18.1014883 59.314100700000004, 18.100501400000002 59.3140955, 18.1002325 59.314098800000004, 18.100005900000003 59.3141079, 18.0998971 59.31411430000001, 18.0998144 59.314121400000005)",Arterial & Major,"LINESTRING (18.1014883 59.314100700000004, 18.100501400000002 59.3140955, 18.1002325 59.314098800000004, 18.100005900000003 59.3141079, 18.0998971 59.31411430000001, 18.0998144 59.314121400000005)"
primary,Folkungagatan,"LINESTRING (18.097345400000002 59.3145693, 18.0977924 59.3144494, 18.0986407 59.3142202, 18.099002600000002 59.314126900000005, 18.099331300000003 59.314049700000005, 18.099763 59.3139881)",Arterial & Major,"LINESTRING (18.097345400000002 59.3145693, 18.0977924 59.3144494, 18.0986407 59.3142202, 18.099002600000002 59.314126900000005, 18.099331300000003 59.314049700000005, 18.099763 59.3139881)"
residential,Närkesgatan,"LINESTRING (18.081499400000002 59.3119565, 18.0818099 59.3119972)",Local & Neighborhood,"LINESTRING (18.081499400000002 59.3119565, 18.0818099 59.3119972)"
residential,Heleneborgsgatan,"LINESTRING (18.0358229 59.3190414, 18.0363528 59.319090100000004)",Local & Neighborhood,"LINESTRING (18.0358229 59.3190414, 18.0363528 59.319090100000004)"
service,,"LINESTRING (18.0363528 59.319090100000004, 18.0362009 59.319533500000006)",Minor & Service,"LINESTRING (18.0363528 59.319090100000004, 18.0362009 59.319533500000006)"
residential,Heleneborgsgatan,"LINESTRING (18.0363528 59.319090100000004, 18.0370168 59.31915420000001)",Local & Neighborhood,"LINESTRING (18.0363528 59.319090100000004, 18.0370168 59.31915420000001)"
residential,Roddargatan,"LINESTRING (18.0778536 59.31768340000001, 18.0790608 59.31778310000001)",Local & Neighborhood,"LINESTRING (18.0778536 59.31768340000001, 18.0790608 59.31778310000001)"
unclassified,Tantogatan,"LINESTRING (18.0451295 59.310275600000004, 18.0451784 59.31038160000001, 18.0451893 59.3104651, 18.0451532 59.3105484, 18.0448582 59.310703200000006, 18.044605 59.3107781)",Local & Neighborhood,"LINESTRING (18.0451295 59.310275600000004, 18.0451784 59.31038160000001, 18.0451893 59.3104651, 18.0451532 59.3105484, 18.0448582 59.310703200000006, 18.044605 59.3107781)"
secondary_link,,"LINESTRING (18.0945302 59.31636640000001, 18.0946532 59.316301700000004, 18.0947786 59.316250700000005)",Arterial & Major,"LINESTRING (18.0945302 59.31636640000001, 18.0946532 59.316301700000004, 18.0947786 59.316250700000005)"
service,,"LINESTRING (18.0751998 59.31306360000001, 18.0751578 59.3131556, 18.075104 59.31327640000001, 18.0762319 59.3134718)",Minor & Service,"LINESTRING (18.0751998 59.31306360000001, 18.0751578 59.3131556, 18.075104 59.31327640000001, 18.0762319 59.3134718)"
tertiary,Folkungagatan,"LINESTRING (18.0799351 59.315059700000006, 18.0798311 59.3150471, 18.0797111 59.31503240000001)",Arterial & Major,"LINESTRING (18.0799351 59.315059700000006, 18.0798311 59.3150471, 18.0797111 59.31503240000001)"
tertiary,Folkungagatan,"LINESTRING (18.0906594 59.315581200000004, 18.0909513 59.3155864, 18.0910383 59.315587900000004)",Arterial & Major,"LINESTRING (18.0906594 59.315581200000004, 18.0909513 59.3155864, 18.0910383 59.315587900000004)"
residential,Folkungagatan,"LINESTRING (18.0920402 59.315727900000006, 18.0916305 59.315771700000006, 18.091422400000003 59.315788500000004)",Local & Neighborhood,"LINESTRING (18.0920402 59.315727900000006, 18.0916305 59.315771700000006, 18.091422400000003 59.315788500000004)"
service,,"LINESTRING (18.0975302 59.3138091, 18.0975708 59.313766300000005, 18.0976365 59.3137539, 18.097988700000002 59.313704400000006, 18.098084500000002 59.3138474)",Minor & Service,"LINESTRING (18.0975302 59.3138091, 18.0975708 59.313766300000005, 18.0976365 59.3137539, 18.097988700000002 59.313704400000006, 18.098084500000002 59.3138474)"
tertiary,Folkungagatan,"LINESTRING (18.088284100000003 59.315620900000006, 18.0863833 59.315595, 18.0863087 59.315593500000006, 18.086231 59.315592200000005)",Arterial & Major,"LINESTRING (18.088284100000003 59.315620900000006, 18.0863833 59.315595, 18.0863087 59.315593500000006, 18.086231 59.315592200000005)"
residential,Blecktornsbrinken,"LINESTRING (18.0849587 59.3077921, 18.084933 59.30791000000001)",Local & Neighborhood,"LINESTRING (18.0849587 59.3077921, 18.084933 59.30791000000001)"
residential,Katarina Bangata,"LINESTRING (18.086323 59.3094739, 18.0861151 59.30954010000001, 18.085897600000003 59.309644500000005, 18.085786900000002 59.3096953, 18.0856885 59.30973830000001)",Local & Neighborhood,"LINESTRING (18.086323 59.3094739, 18.0861151 59.30954010000001, 18.085897600000003 59.309644500000005, 18.085786900000002 59.3096953, 18.0856885 59.30973830000001)"
tertiary,Skansbrogatan,"LINESTRING (18.0756981 59.306059100000006, 18.0754872 59.30610050000001, 18.075255900000002 59.3061718, 18.0750967 59.3062583, 18.0750213 59.30631270000001, 18.0749614 59.30637050000001, 18.074900500000002 59.3064491, 18.0748569 59.306532000000004)",Arterial & Major,"LINESTRING (18.0756981 59.306059100000006, 18.0754872 59.30610050000001, 18.075255900000002 59.3061718, 18.0750967 59.3062583, 18.0750213 59.30631270000001, 18.0749614 59.30637050000001, 18.074900500000002 59.3064491, 18.0748569 59.306532000000004)"
secondary,Ringvägen,"LINESTRING (18.0629527 59.309123400000004, 18.061946600000002 59.309431200000006, 18.0618448 59.3094649, 18.0617039 59.309514400000005)",Arterial & Major,"LINESTRING (18.0629527 59.309123400000004, 18.061946600000002 59.309431200000006, 18.0618448 59.3094649, 18.0617039 59.309514400000005)"
service,,"LINESTRING (18.070810400000003 59.30470390000001, 18.070873900000002 59.304705500000004, 18.070943200000002 59.30472880000001, 18.070985800000003 59.3047672, 18.0711424 59.305126200000004, 18.071707500000002 59.3050774)",Minor & Service,"LINESTRING (18.070810400000003 59.30470390000001, 18.070873900000002 59.304705500000004, 18.070943200000002 59.30472880000001, 18.070985800000003 59.3047672, 18.0711424 59.305126200000004, 18.071707500000002 59.3050774)"
secondary_link,,"LINESTRING (18.043091800000003 59.3164626, 18.0431257 59.31639800000001)",Arterial & Major,"LINESTRING (18.043091800000003 59.3164626, 18.0431257 59.31639800000001)"
secondary,Hornsgatan,"LINESTRING (18.0431257 59.31639800000001, 18.0457967 59.316733500000005, 18.0464099 59.3168244, 18.046488800000002 59.316836300000006)",Arterial & Major,"LINESTRING (18.0431257 59.31639800000001, 18.0457967 59.316733500000005, 18.0464099 59.3168244, 18.046488800000002 59.316836300000006)"
secondary,Ringvägen,"LINESTRING (18.064283500000002 59.3087164, 18.0629527 59.309123400000004)",Arterial & Major,"LINESTRING (18.064283500000002 59.3087164, 18.0629527 59.309123400000004)"
secondary,Hornsgatan,"LINESTRING (18.0457554 59.316796100000005, 18.0432633 59.31648560000001, 18.043091800000003 59.3164626)",Arterial & Major,"LINESTRING (18.0457554 59.316796100000005, 18.0432633 59.31648560000001, 18.043091800000003 59.3164626)"
residential,Verkstadsgatan,"LINESTRING (18.0310029 59.317619300000004, 18.0311357 59.3176324, 18.032132700000002 59.31774420000001)",Local & Neighborhood,"LINESTRING (18.0310029 59.317619300000004, 18.0311357 59.3176324, 18.032132700000002 59.31774420000001)"
service,,"LINESTRING (18.056048 59.310203900000005, 18.056959000000003 59.310129800000006)",Minor & Service,"LINESTRING (18.056048 59.310203900000005, 18.056959000000003 59.310129800000006)"
service,,"LINESTRING (18.051743000000002 59.309786200000005, 18.0516256 59.3097408, 18.0515154 59.30966780000001, 18.051393100000002 59.309627500000005, 18.0512434 59.3094686, 18.0511479 59.309317500000006, 18.051065400000002 59.309074300000006, 18.051106100000002 59.309029800000005, 18.0512552 59.3089808, 18.0513817 59.3089443, 18.051451200000002 59.3088933, 18.05149 59.308851600000004, 18.0515349 59.308829700000004, 18.051753400000003 59.308803600000005, 18.051961600000002 59.30879830000001, 18.052078 59.30879530000001, 18.0521992 59.30880990000001, 18.052372000000002 59.3088307)",Minor & Service,"LINESTRING (18.051743000000002 59.309786200000005, 18.0516256 59.3097408, 18.0515154 59.30966780000001, 18.051393100000002 59.309627500000005, 18.0512434 59.3094686, 18.0511479 59.309317500000006, 18.051065400000002 59.309074300000006, 18.051106100000002 59.309029800000005, 18.0512552 59.3089808, 18.0513817 59.3089443, 18.051451200000002 59.3088933, 18.05149 59.308851600000004, 18.0515349 59.308829700000004, 18.051753400000003 59.308803600000005, 18.051961600000002 59.30879830000001, 18.052078 59.30879530000001, 18.0521992 59.30880990000001, 18.052372000000002 59.3088307)"
tertiary_link,Hornsgatsavfarten,"LINESTRING (18.069299100000002 59.319681700000004, 18.0692273 59.3197039, 18.0690667 59.3197241)",Arterial & Major,"LINESTRING (18.069299100000002 59.319681700000004, 18.0692273 59.3197039, 18.0690667 59.3197241)"
service,Tengdahlsgatan,"LINESTRING (18.095088 59.310929900000005, 18.0949472 59.310687200000004, 18.0948835 59.310577300000006, 18.0948084 59.310447800000006)",Minor & Service,"LINESTRING (18.095088 59.310929900000005, 18.0949472 59.310687200000004, 18.0948835 59.310577300000006, 18.0948084 59.310447800000006)"
service,,"LINESTRING (18.0999172 59.31549510000001, 18.0999614 59.3155342)",Minor & Service,"LINESTRING (18.0999172 59.31549510000001, 18.0999614 59.3155342)"
service,Tegelviksplan,"LINESTRING (18.0987252 59.315651200000005, 18.0982969 59.3155227, 18.0981703 59.315483500000006)",Minor & Service,"LINESTRING (18.0987252 59.315651200000005, 18.0982969 59.3155227, 18.0981703 59.315483500000006)"
service,Tegelviksplan,"LINESTRING (18.0984509 59.31565140000001, 18.0980913 59.31577660000001, 18.0978743 59.3158516)",Minor & Service,"LINESTRING (18.0984509 59.31565140000001, 18.0980913 59.31577660000001, 18.0978743 59.3158516)"
secondary,Hornsgatan,"LINESTRING (18.041615500000002 59.3162743, 18.041126000000002 59.316211700000004)",Arterial & Major,"LINESTRING (18.041615500000002 59.3162743, 18.041126000000002 59.316211700000004)"
residential,Katarina Bangata,"LINESTRING (18.087105700000002 59.309361100000004, 18.0869003 59.309445000000004)",Local & Neighborhood,"LINESTRING (18.087105700000002 59.309361100000004, 18.0869003 59.309445000000004)"
residential,Tullgårdsgatan,"LINESTRING (18.089464500000002 59.3065949, 18.0895562 59.306489600000006)",Local & Neighborhood,"LINESTRING (18.089464500000002 59.3065949, 18.0895562 59.306489600000006)"
residential,Klevgränd,"LINESTRING (18.0731834 59.318814, 18.0730811 59.318825800000006)",Local & Neighborhood,"LINESTRING (18.0731834 59.318814, 18.0730811 59.318825800000006)"
residential,Svartensgatan,"LINESTRING (18.0726872 59.317343400000006, 18.0724684 59.3173121)",Local & Neighborhood,"LINESTRING (18.0726872 59.317343400000006, 18.0724684 59.3173121)"
residential,Svartensgatan,"LINESTRING (18.0741911 59.3175588, 18.0726872 59.317343400000006)",Local & Neighborhood,"LINESTRING (18.0741911 59.3175588, 18.0726872 59.317343400000006)"
residential,Östgötagatan,"LINESTRING (18.0751928 59.31728880000001, 18.0752233 59.3172341)",Local & Neighborhood,"LINESTRING (18.0751928 59.31728880000001, 18.0752233 59.3172341)"
residential,Östgötagatan,"LINESTRING (18.075675500000003 59.3162784, 18.0756488 59.3163349)",Local & Neighborhood,"LINESTRING (18.075675500000003 59.3162784, 18.0756488 59.3163349)"
residential,Katarina Östra Kyrkogårdsgränd,"LINESTRING (18.0801473 59.316064000000004, 18.080103700000002 59.3161519)",Local & Neighborhood,"LINESTRING (18.0801473 59.316064000000004, 18.080103700000002 59.3161519)"
residential,Kocksgatan,"LINESTRING (18.077255700000002 59.313963, 18.077147 59.3139491)",Local & Neighborhood,"LINESTRING (18.077255700000002 59.313963, 18.077147 59.3139491)"
tertiary,Folkungagatan,"LINESTRING (18.073740700000002 59.31421640000001, 18.074113 59.314262600000006)",Arterial & Major,"LINESTRING (18.073740700000002 59.31421640000001, 18.074113 59.314262600000006)"
tertiary,Folkungagatan,"LINESTRING (18.081858800000003 59.3152357, 18.0819814 59.3152514)",Arterial & Major,"LINESTRING (18.081858800000003 59.3152357, 18.0819814 59.3152514)"
residential,Kocksgatan,"LINESTRING (18.0755765 59.3137337, 18.0754673 59.31371910000001)",Local & Neighborhood,"LINESTRING (18.0755765 59.3137337, 18.0754673 59.31371910000001)"
residential,Åsögatan,"LINESTRING (18.080080300000002 59.31371660000001, 18.0799854 59.313703800000006)",Local & Neighborhood,"LINESTRING (18.080080300000002 59.31371660000001, 18.0799854 59.313703800000006)"
residential,Åsögatan,"LINESTRING (18.0792174 59.313599800000006, 18.079107 59.3135848)",Local & Neighborhood,"LINESTRING (18.0792174 59.313599800000006, 18.079107 59.3135848)"
residential,Bondegatan,"LINESTRING (18.076835600000003 59.312609, 18.0771383 59.31264710000001)",Local & Neighborhood,"LINESTRING (18.076835600000003 59.312609, 18.0771383 59.31264710000001)"
residential,Bondegatan,"LINESTRING (18.0749113 59.312367, 18.075082000000002 59.312388500000004)",Local & Neighborhood,"LINESTRING (18.0749113 59.312367, 18.075082000000002 59.312388500000004)"
tertiary,Renstiernas Gata,"LINESTRING (18.085397 59.3121141, 18.0852584 59.3124137)",Arterial & Major,"LINESTRING (18.085397 59.3121141, 18.0852584 59.3124137)"
tertiary,Renstiernas Gata,"LINESTRING (18.0852584 59.3124137, 18.0852091 59.312520500000005)",Arterial & Major,"LINESTRING (18.0852584 59.3124137, 18.0852091 59.312520500000005)"
residential,Södermannagatan,"LINESTRING (18.080259400000003 59.313982700000004, 18.0803058 59.313901200000004)",Local & Neighborhood,"LINESTRING (18.080259400000003 59.313982700000004, 18.0803058 59.313901200000004)"
tertiary,Götgatan,"LINESTRING (18.0740401 59.312627500000005, 18.0741237 59.3124532)",Arterial & Major,"LINESTRING (18.0740401 59.312627500000005, 18.0741237 59.3124532)"
residential,Bondegatan,"LINESTRING (18.081173200000002 59.313157000000004, 18.0813865 59.313183900000006)",Local & Neighborhood,"LINESTRING (18.081173200000002 59.313157000000004, 18.0813865 59.313183900000006)"
residential,Bondegatan,"LINESTRING (18.082034 59.3132657, 18.0820914 59.3132729)",Local & Neighborhood,"LINESTRING (18.082034 59.3132657, 18.0820914 59.3132729)"
residential,Bondegatan,"LINESTRING (18.080931 59.3131265, 18.0810332 59.313139400000004)",Local & Neighborhood,"LINESTRING (18.080931 59.3131265, 18.0810332 59.313139400000004)"
residential,Östgötagatan,"LINESTRING (18.078355000000002 59.310771, 18.0784171 59.310648300000004)",Local & Neighborhood,"LINESTRING (18.078355000000002 59.310771, 18.0784171 59.310648300000004)"
residential,Blekingegatan,"LINESTRING (18.076763 59.310765700000005, 18.076706100000003 59.3107581)",Local & Neighborhood,"LINESTRING (18.076763 59.310765700000005, 18.076706100000003 59.3107581)"
residential,Ölandsgatan,"LINESTRING (18.0771883 59.3087303, 18.078982 59.3089669)",Local & Neighborhood,"LINESTRING (18.0771883 59.3087303, 18.078982 59.3089669)"
residential,Östgötagatan,"LINESTRING (18.0789261 59.3096352, 18.079098600000002 59.30928660000001)",Local & Neighborhood,"LINESTRING (18.0789261 59.3096352, 18.079098600000002 59.30928660000001)"
residential,Närkesgatan,"LINESTRING (18.0820097 59.31202330000001, 18.0820984 59.3120349)",Local & Neighborhood,"LINESTRING (18.0820097 59.31202330000001, 18.0820984 59.3120349)"
residential,Ploggatan,"LINESTRING (18.0927319 59.3143843, 18.092716300000003 59.314357)",Local & Neighborhood,"LINESTRING (18.0927319 59.3143843, 18.092716300000003 59.314357)"
residential,Bondegatan,"LINESTRING (18.083614400000002 59.3134596, 18.0838149 59.3134859)",Local & Neighborhood,"LINESTRING (18.083614400000002 59.3134596, 18.0838149 59.3134859)"
tertiary,Folkungagatan,"LINESTRING (18.0886265 59.315562400000005, 18.0888384 59.315566100000005)",Arterial & Major,"LINESTRING (18.0886265 59.315562400000005, 18.0888384 59.315566100000005)"
tertiary,Folkungagatan,"LINESTRING (18.0891802 59.315572100000004, 18.0893535 59.315575200000005)",Arterial & Major,"LINESTRING (18.0891802 59.315572100000004, 18.0893535 59.315575200000005)"
residential,Erstagatan,"LINESTRING (18.0902005 59.3141029, 18.090193000000003 59.31420060000001)",Local & Neighborhood,"LINESTRING (18.0902005 59.3141029, 18.090193000000003 59.31420060000001)"
residential,Bondegatan,"LINESTRING (18.0930559 59.313351000000004, 18.0931664 59.313335800000004)",Local & Neighborhood,"LINESTRING (18.0930559 59.313351000000004, 18.0931664 59.313335800000004)"
residential,Skånegatan,"LINESTRING (18.0872636 59.3132657, 18.087983100000002 59.3131678)",Local & Neighborhood,"LINESTRING (18.0872636 59.3132657, 18.087983100000002 59.3131678)"
residential,Heleneborgsgatan,"LINESTRING (18.0345996 59.318929000000004, 18.034880400000002 59.3189548)",Local & Neighborhood,"LINESTRING (18.0345996 59.318929000000004, 18.034880400000002 59.3189548)"
secondary,Hornsgatan,"LINESTRING (18.0421409 59.3163416, 18.041615500000002 59.3162743)",Arterial & Major,"LINESTRING (18.0421409 59.3163416, 18.041615500000002 59.3162743)"
residential,Klevgränd,"LINESTRING (18.0749697 59.3186327, 18.074300700000002 59.3186929)",Local & Neighborhood,"LINESTRING (18.0749697 59.3186327, 18.074300700000002 59.3186929)"
residential,Barnängs Tvärgränd,"LINESTRING (18.0914732 59.30814230000001, 18.091234200000002 59.308086200000005)",Local & Neighborhood,"LINESTRING (18.0914732 59.30814230000001, 18.091234200000002 59.308086200000005)"
residential,Nytorgsgatan,"LINESTRING (18.080158700000002 59.317565, 18.0802318 59.3174518)",Local & Neighborhood,"LINESTRING (18.080158700000002 59.317565, 18.0802318 59.3174518)"
tertiary,Folkungagatan,"LINESTRING (18.0755741 59.314443700000005, 18.0758051 59.31447240000001)",Arterial & Major,"LINESTRING (18.0755741 59.314443700000005, 18.0758051 59.31447240000001)"
residential,Kocksgatan,"LINESTRING (18.0758487 59.313769900000004, 18.075760900000002 59.3137582)",Local & Neighborhood,"LINESTRING (18.0758487 59.313769900000004, 18.075760900000002 59.3137582)"
residential,Åsögatan,"LINESTRING (18.0798911 59.313691000000006, 18.079693300000002 59.313664200000005)",Local & Neighborhood,"LINESTRING (18.0798911 59.313691000000006, 18.079693300000002 59.313664200000005)"
residential,Östgötagatan,"LINESTRING (18.0779287 59.311583500000005, 18.077955000000003 59.31153810000001)",Local & Neighborhood,"LINESTRING (18.0779287 59.311583500000005, 18.077955000000003 59.31153810000001)"
residential,Bjurholmsplan,"LINESTRING (18.0814062 59.3094389, 18.0812938 59.30965140000001)",Local & Neighborhood,"LINESTRING (18.0814062 59.3094389, 18.0812938 59.30965140000001)"
residential,Ploggatan,"LINESTRING (18.0924675 59.3139212, 18.0922819 59.3135959)",Local & Neighborhood,"LINESTRING (18.0924675 59.3139212, 18.0922819 59.3135959)"
residential,Södermannagatan,"LINESTRING (18.0823208 59.3098115, 18.082076 59.3102996)",Local & Neighborhood,"LINESTRING (18.0823208 59.3098115, 18.082076 59.3102996)"
residential,Erstagatan,"LINESTRING (18.090293000000003 59.3130864, 18.0902681 59.313309800000006)",Local & Neighborhood,"LINESTRING (18.090293000000003 59.3130864, 18.0902681 59.313309800000006)"
residential,Gaveliusgatan,"LINESTRING (18.094931900000002 59.3093562, 18.094930100000003 59.309392900000006, 18.0948753 59.309418900000004, 18.0946387 59.309452900000004)",Local & Neighborhood,"LINESTRING (18.094931900000002 59.3093562, 18.094930100000003 59.309392900000006, 18.0948753 59.309418900000004, 18.0946387 59.309452900000004)"
residential,Ringvägen,"LINESTRING (18.0627342 59.308967800000005, 18.0628193 59.30894240000001, 18.063021900000003 59.3088783, 18.0647671 59.30835140000001)",Local & Neighborhood,"LINESTRING (18.0627342 59.308967800000005, 18.0628193 59.30894240000001, 18.063021900000003 59.3088783, 18.0647671 59.30835140000001)"
service,,"LINESTRING (18.042960700000002 59.3186363, 18.043015500000003 59.3184813, 18.0430895 59.318271700000004, 18.0430917 59.318265600000004, 18.0431907 59.3182747, 18.0432919 59.318285700000004, 18.0432184 59.3184989, 18.0431646 59.31865500000001)",Minor & Service,"LINESTRING (18.042960700000002 59.3186363, 18.043015500000003 59.3184813, 18.0430895 59.318271700000004, 18.0430917 59.318265600000004, 18.0431907 59.3182747, 18.0432919 59.318285700000004, 18.0432184 59.3184989, 18.0431646 59.31865500000001)"
residential,Tobaksspinnargatan,"LINESTRING (18.0310029 59.317619300000004, 18.031038900000002 59.317553700000005, 18.0311379 59.3173279)",Local & Neighborhood,"LINESTRING (18.0310029 59.317619300000004, 18.031038900000002 59.317553700000005, 18.0311379 59.3173279)"
service,,"LINESTRING (18.0560173 59.3145152, 18.055801900000002 59.314541600000005, 18.0554525 59.3145686, 18.055259500000002 59.314556700000004)",Minor & Service,"LINESTRING (18.0560173 59.3145152, 18.055801900000002 59.314541600000005, 18.0554525 59.3145686, 18.055259500000002 59.314556700000004)"
service,,"LINESTRING (18.0582886 59.3114749, 18.0581433 59.31145720000001, 18.0577975 59.311415000000004, 18.0574017 59.31129850000001)",Minor & Service,"LINESTRING (18.0582886 59.3114749, 18.0581433 59.31145720000001, 18.0577975 59.311415000000004, 18.0574017 59.31129850000001)"
service,,"LINESTRING (18.0534614 59.320438700000004, 18.0534457 59.3202086)",Minor & Service,"LINESTRING (18.0534614 59.320438700000004, 18.0534457 59.3202086)"
tertiary,Söder Mälarstrand,"LINESTRING (18.0592598 59.3211366, 18.059554300000002 59.3211329, 18.0596928 59.321136200000005)",Arterial & Major,"LINESTRING (18.0592598 59.3211366, 18.059554300000002 59.3211329, 18.0596928 59.321136200000005)"
unclassified,Ringvägen,"LINESTRING (18.0557257 59.3118283, 18.0556081 59.3118065, 18.0554992 59.311783600000005)",Local & Neighborhood,"LINESTRING (18.0557257 59.3118283, 18.0556081 59.3118065, 18.0554992 59.311783600000005)"
residential,Ringvägen,"LINESTRING (18.080198300000003 59.30844140000001, 18.0801239 59.3083784, 18.080094300000003 59.3082956)",Local & Neighborhood,"LINESTRING (18.080198300000003 59.30844140000001, 18.0801239 59.3083784, 18.080094300000003 59.3082956)"
secondary,Ringvägen,"LINESTRING (18.058570800000002 59.31047160000001, 18.0605598 59.309786700000004)",Arterial & Major,"LINESTRING (18.058570800000002 59.31047160000001, 18.0605598 59.309786700000004)"
residential,Tantogatan,"LINESTRING (18.055125800000003 59.31194730000001, 18.055033700000003 59.311900300000005)",Local & Neighborhood,"LINESTRING (18.055125800000003 59.31194730000001, 18.055033700000003 59.311900300000005)"
residential,Katarina Bangata,"LINESTRING (18.0804775 59.311474800000006, 18.0795885 59.311578000000004, 18.0793183 59.311614500000005)",Local & Neighborhood,"LINESTRING (18.0804775 59.311474800000006, 18.0795885 59.311578000000004, 18.0793183 59.311614500000005)"
service,,"LINESTRING (18.055259500000002 59.314556700000004, 18.054904200000003 59.3146202, 18.0547428 59.3143784)",Minor & Service,"LINESTRING (18.055259500000002 59.314556700000004, 18.054904200000003 59.3146202, 18.0547428 59.3143784)"
service,Tegelviksplan,"LINESTRING (18.0989264 59.315649500000006, 18.0988081 59.3156515)",Minor & Service,"LINESTRING (18.0989264 59.315649500000006, 18.0988081 59.3156515)"
residential,Bergsunds Strand,"LINESTRING (18.0265062 59.318204300000005, 18.0266166 59.31832120000001, 18.0267033 59.318387400000006)",Local & Neighborhood,"LINESTRING (18.0265062 59.318204300000005, 18.0266166 59.31832120000001, 18.0267033 59.318387400000006)"
secondary,Stadsgårdsleden,"LINESTRING (18.0771878 59.319512, 18.0771473 59.31954940000001, 18.076928000000002 59.3196316, 18.076644700000003 59.3197205, 18.0751358 59.32004070000001, 18.074150200000002 59.3202737, 18.0739474 59.320309200000004, 18.0738023 59.320309800000004, 18.0735557 59.3202864)",Arterial & Major,"LINESTRING (18.0771878 59.319512, 18.0771473 59.31954940000001, 18.076928000000002 59.3196316, 18.076644700000003 59.3197205, 18.0751358 59.32004070000001, 18.074150200000002 59.3202737, 18.0739474 59.320309200000004, 18.0738023 59.320309800000004, 18.0735557 59.3202864)"
residential,Nytorgsgatan,"LINESTRING (18.0811473 59.3156563, 18.081304600000003 59.31536680000001)",Local & Neighborhood,"LINESTRING (18.0811473 59.3156563, 18.081304600000003 59.31536680000001)"
service,,"LINESTRING (18.060315300000003 59.3117991, 18.0603948 59.3116294)",Minor & Service,"LINESTRING (18.060315300000003 59.3117991, 18.0603948 59.3116294)"
service,Fatbursfaret,"LINESTRING (18.070230600000002 59.314393300000006, 18.0702484 59.314354)",Minor & Service,"LINESTRING (18.070230600000002 59.314393300000006, 18.0702484 59.314354)"
service,,"LINESTRING (18.0973112 59.309693, 18.0972425 59.3095634)",Minor & Service,"LINESTRING (18.0973112 59.309693, 18.0972425 59.3095634)"
service,,"LINESTRING (18.1005998 59.315584400000006, 18.102377800000003 59.315571600000006, 18.102743 59.3155689)",Minor & Service,"LINESTRING (18.1005998 59.315584400000006, 18.102377800000003 59.315571600000006, 18.102743 59.3155689)"
service,,"LINESTRING (18.064192600000002 59.310820500000005, 18.0643649 59.310862500000006, 18.064803400000002 59.310918300000004, 18.0648819 59.31091970000001, 18.0649289 59.310892100000004, 18.065068500000002 59.310625, 18.0650795 59.3105708, 18.065064388687663 59.31055368142061)",Minor & Service,"LINESTRING (18.064192600000002 59.310820500000005, 18.0643649 59.310862500000006, 18.064803400000002 59.310918300000004, 18.0648819 59.31091970000001, 18.0649289 59.310892100000004, 18.065068500000002 59.310625, 18.0650795 59.3105708, 18.065064388687663 59.31055368142061)"
service,,"LINESTRING (18.0910257 59.316254, 18.090913200000003 59.3164524, 18.090848400000002 59.3164766, 18.0907389 59.316471400000005, 18.0906883 59.31644730000001, 18.0906847119687 59.316439443131465)",Minor & Service,"LINESTRING (18.0910257 59.316254, 18.090913200000003 59.3164524, 18.090848400000002 59.3164766, 18.0907389 59.316471400000005, 18.0906883 59.31644730000001, 18.0906847119687 59.316439443131465)"
service,,"LINESTRING (18.06371 59.31360720000001, 18.0636566 59.3135527, 18.063666700000002 59.3135331, 18.063788300000002 59.3132966, 18.0638241 59.313270700000004, 18.063884426811903 59.313265277365225)",Minor & Service,"LINESTRING (18.06371 59.31360720000001, 18.0636566 59.3135527, 18.063666700000002 59.3135331, 18.063788300000002 59.3132966, 18.0638241 59.313270700000004, 18.063884426811903 59.313265277365225)"
service,,"LINESTRING (18.0596976 59.312894500000006, 18.0596751 59.312863300000004, 18.0596664 59.312831300000006, 18.0597099 59.312751500000005, 18.0597654 59.312721100000005, 18.059804287536704 59.31272496067603)",Minor & Service,"LINESTRING (18.0596976 59.312894500000006, 18.0596751 59.312863300000004, 18.0596664 59.312831300000006, 18.0597099 59.312751500000005, 18.0597654 59.312721100000005, 18.059804287536704 59.31272496067603)"
service,Hjalmar Cederströms Gata,"LINESTRING (18.058514600000002 59.30903120000001, 18.0578471 59.3090831, 18.057829944937197 59.309046734840834)",Minor & Service,"LINESTRING (18.058514600000002 59.30903120000001, 18.0578471 59.3090831, 18.057829944937197 59.309046734840834)"
service,,"LINESTRING (18.0845194 59.3074086, 18.084894900000002 59.307405800000005, 18.084932600000002 59.3074285, 18.0849426 59.307453100000004, 18.084937757205886 59.30746259057639)",Minor & Service,"LINESTRING (18.0845194 59.3074086, 18.084894900000002 59.307405800000005, 18.084932600000002 59.3074285, 18.0849426 59.307453100000004, 18.084937757205886 59.30746259057639)"
