highway,name,wkt_geom,category,geometry
service,,"LINESTRING (18.0993236 59.3160785, 18.099084400000002 59.316131500000004)",Minor & Service,"LINESTRING (18.0993236 59.3160785, 18.099084400000002 59.316131500000004)"
residential,Erstagatan,"LINESTRING (18.0897088 59.3165604, 18.089665800000002 59.316708600000005)",Local & Neighborhood,"LINESTRING (18.0897088 59.3165604, 18.089665800000002 59.316708600000005)"
residential,Fjällgatan,"LINESTRING (18.088168200000002 59.317235600000004, 18.088068200000002 59.3172463)",Local & Neighborhood,"LINESTRING (18.088168200000002 59.317235600000004, 18.088068200000002 59.3172463)"
residential,Södermannagatan,"LINESTRING (18.0828217 59.3088606, 18.0828865 59.308759800000004, 18.082912 59.3087145)",Local & Neighborhood,"LINESTRING (18.0828217 59.3088606, 18.0828865 59.308759800000004, 18.082912 59.3087145)"
service,,"LINESTRING (18.0635102 59.309392100000004, 18.0628533 59.309577700000006, 18.062878100000002 59.309650000000005, 18.0635736 59.309743100000006)",Minor & Service,"LINESTRING (18.0635102 59.309392100000004, 18.0628533 59.309577700000006, 18.062878100000002 59.309650000000005, 18.0635736 59.309743100000006)"
tertiary,Skansbrogatan,"LINESTRING (18.0747587 59.3070098, 18.074698400000003 59.30730320000001, 18.0746886 59.3073418)",Arterial & Major,"LINESTRING (18.0747587 59.3070098, 18.074698400000003 59.30730320000001, 18.0746886 59.3073418)"
secondary,Ringvägen,"LINESTRING (18.0646597 59.3086028, 18.064283500000002 59.3087164)",Arterial & Major,"LINESTRING (18.0646597 59.3086028, 18.064283500000002 59.3087164)"
secondary,Hornsgatan,"LINESTRING (18.046488800000002 59.316836300000006, 18.0501191 59.3172858, 18.0502274 59.3172998, 18.050502400000003 59.317333500000004)",Arterial & Major,"LINESTRING (18.046488800000002 59.316836300000006, 18.0501191 59.3172858, 18.0502274 59.3172998, 18.050502400000003 59.317333500000004)"
secondary,Ringvägen,"LINESTRING (18.0784168 59.3079412, 18.0786822 59.307975600000006, 18.0789408 59.308005800000004)",Arterial & Major,"LINESTRING (18.0784168 59.3079412, 18.0786822 59.307975600000006, 18.0789408 59.308005800000004)"
secondary,Ringvägen,"LINESTRING (18.0617039 59.309514400000005, 18.0615923 59.309552700000005)",Arterial & Major,"LINESTRING (18.0617039 59.309514400000005, 18.0615923 59.309552700000005)"
